year,ped_tot,gen_ad_test,amph_test,epo_test,bio_passport,night_test,ooct,num_stages,tot_length,avg_speed,num_entrants,num_finishers,first_prize_money,tot_prize_money,tot_time_winner,second_lag_time
1968,0.345,1,0,0,0,0,0,22.5,4492,33.556,110,63,24251.79,697060.12,133.828,0.011
1969,0.492,1,0,0,0,0,0,22.5,4117,35.409,130,86,22771.4,683152.35,116.267,0.298
1970,0.387,1,0,0,0,0,0,23.5,4254,35.589,150,100,21646.55,655363.84,119.53,0.211
1971,0.431,1,0,0,0,0,0,20.5,3608,38.084,130,94,20517.55,482780.88,96.754,0.164
1972,0.5,1,0,0,0,0,0,20.5,3846,35.514,132,88,19319.93,533227.47,108.288,0.178
1973,0.47,1,0,0,0,0,0,20.5,4090,33.407,132,87,18005.87,594179.22,122.426,0.264
1974,0.446,1,1,0,0,0,0,23.5,4098,35.241,130,105,23753.82,635535.55,116.283,0.134
1975,0.436,1,1,0,0,0,0,22.5,4000,34.906,140,86,21246.31,596817.73,114.592,0.046
1976,0.423,1,1,0,0,0,0,22.5,4017,34.518,130,87,64619.46,649099.21,116.373,0.071
1977,0.53,1,1,0,0,0,0,22.5,4096,35.419,100,53,59066.95,690190.44,115.642,0.012
1978,0.54,1,1,0,0,0,0,22.5,3908,36.084,110,78,54140.29,664594.45,108.3,0.066
1979,0.407,1,1,0,0,0,0,24.5,3765,36.513,150,89,48863.28,653843.94,103.114,0.219
1980,0.446,1,1,0,0,0,0,22.5,3842,35.144,130,85,43013.45,640004.79,109.321,0.115
1981,0.44,1,1,0,0,0,0,22.5,3753,38.96,150,121,49309.27,881503.87,91.571,0.243
1982,0.412,1,1,0,0,0,0,21.5,3507,38.059,170,125,50890.5,748844.67,92.146,0.106
1983,0.436,1,1,0,0,0,0,22.5,3809,36.23,140,88,49528.62,713291.39,105.131,0.068
1984,0.429,1,1,0,0,0,0,23.5,4021,35.882,170,124,46115.62,738272.98,112.061,0.176
1985,0.333,1,1,0,0,0,0,22.5,4109,36.232,180,144,32691.26,818102.82,113.406,0.028
1986,0.31,1,1,0,0,0,0,23.5,4094,37.02,210,132,79578.26,1193860.01,110.589,0.053
1987,0.319,1,1,0,0,0,0,25.5,4231,36.645,229,135,77186.14,1616966.81,115.462,0.011
1988,0.333,1,1,0,0,0,0,22.2,3286,38.909,219,151,202421.56,1895763.62,84.465,0.12
1989,0.313,1,1,0,0,0,0,21.5,3285,37.487,219,138,362375.45,1957844.37,87.643,0.002
1990,0.379,1,1,0,0,0,0,21.5,3504,38.261,219,156,467279.41,2353557.72,90.722,0.038
1991,0.308,1,1,0,0,0,0,22.5,3914,38.747,219,158,452790.5,2041596.63,101.022,0.06
1992,0.379,1,1,0,0,0,0,21.5,3983,39.504,219,130,442178.27,2246915.55,100.825,0.076
1993,0.439,1,1,0,0,0,0,20.5,3714,38.709,199,136,433508,2384292.45,95.953,0.083
1994,0.471,1,1,0,0,0,0,21.5,3978,38.383,209,117,468887.67,2471771.67,103.644,0.094
1995,0.497,1,1,0,0,0,0,20.5,3635,39.193,209,115,461049.09,2533938.71,92.75,0.076
1996,0.475,1,1,0,0,0,0,21.5,3765,39.227,219,129,452009.76,2465968.63,95.954,0.028
1997,0.497,1,1,0,0,0,0,21.5,3950,39.237,219,139,446649.59,2430615.99,100.51,0.153
1998,0.529,1,1,0,0,0,0,21.5,3875,39.983,209,96,443544.3,2423297.2,92.829,0.056
1999,0.483,1,1,0,0,0,0,20.5,3870,40.276,199,141,441347.63,3002160,91.538,0.127
2000,0.517,1,1,0,0,0,0,21,3662,39.569,199,128,434000.77,3057834.74,92.552,0.101
2001,0.413,1,1,1,0,0,0,20.5,3458,40.07,209,144,426898.23,3196063.07,86.291,0.112
2002,0.45,1,1,1,0,0,0,20.5,3278,39.92,209,153,418986.87,3328053.81,82.087,0.121
2003,0.424,1,1,1,0,0,0,20.5,3427,40.94,219,147,489494.62,3521550.4,83.687,0.017
2004,0.424,1,1,1,0,0,0,20.5,3391,40.553,209,147,479286.79,3594654.03,83.601,0.105
2005,0.376,1,1,1,0,0,0,21,3593,41.654,209,155,470411.72,3528086.36,86.251,0.078
2006,0.364,1,1,1,0,0,1,20.5,3657,40.784,199,139,520725.24,3702937.73,89.658,0.016
2007,0.323,1,1,1,0,0,1,20.5,3570,39.228,219,141,513237.01,3649683.18,91.007,0.006
2008,0.256,1,1,1,1,0,1,21,3559,40.492,199,145,499257.5,3550275.58,87.881,0.016
2009,0.211,1,1,1,1,0,1,21,3460,40.315,199,156,498758.5,3546725.35,85.81,0.07
2010,0.242,1,1,1,1,0,1,20.5,3642,39.594,219,170,491269.22,3493470.8,91.98,0.023
2011,0.217,1,1,1,1,0,1,21,3630,39.788,219,167,481283.86,3649788.18,86.206,0.026
2012,0.217,1,1,1,1,0,1,20.5,3497,39.883,219,153,471864.04,3648355.61,87.58,0.056
2013,0.136,1,1,1,1,0,1,21,3404,40.542,219,169,467821.04,2103426.84,83.944,0.072
2014,0.116,1,1,1,1,0,1,21,3659,40.662,219,164,465795,2106428.5,89.985,0.127
2015,0.111,1,1,1,1,1,1,21,3354,39.567,219,160,465660,2100799.22,84.771,0.02
2016,0.106,1,1,1,1,1,1,21,3525,39.571,219,174,516150,2370005.96,89.08,0.068
2017,0.106,1,1,1,1,1,1,21,3540,40.995,219,167,508350,2319041.87,86.349,0.015
